Rank,Country,Region,Population,Percentage,Date
1,China,Asia,1411778724,17.80%,20/11/2022
2,India,Asia,1386141732,17.50%,21/12/2022
3,United States,Americas,332960297,4.20%,21/12/2022
4,Indonesia,Asia,271350000,3.43%,20/12/2022
5,Pakistan,Asia,225200000,2.84%,21/07/2022
6,Brazil,Americas,214143381,2.70%,21/12/2022
7,Nigeria,Africa,211401000,2.67%,21/07/2022
8,Bangladesh,Asia,171950056,2.17%,21/12/2022
9,Russia,"Europe,Asia",146171015,1.85%,21/01/2022
10,Mexico,Americas,126014024,1.59%,20/03/2022
11,Japan,Asia,125470000,1.58%,21/12/2022
12,Ethiopia,Africa,117876000,1.49%,21/07/2022
13,Philippines,Asia,111287016,1.41%,21/12/2022
14,Egypt,Africa,102741996,1.30%,21/12/2022
15,Vietnam,Asia,98510000,1.24%,21/07/2022
16,DR Congo,Africa,92378000,1.17%,21/07/2022
17,Iran,Asia,85066199,1.07%,21/12/2022
18,Turkey,"Asia,Europe",83614362,1.06%,20/12/2022
19,Germany,Europe,83129285,1.05%,21/06/2022
20,France,Europe,67505000,0.85%,21/10/2022
21,United Kingdom,Europe,67081234,0.85%,20/06/2022
22,Thailand,Asia,66735055,0.84%,21/12/2022
23,SouthAfrica,Africa,60142978,0.76%,21/07/2022
24,Tanzania,Africa,59441988,0.75%,21/07/2022
25,Italy,Europe,59097904,0.75%,21/08/2022
26,Myanmar,Asia,55294979,0.70%,21/07/2022
27,SouthKorea,Asia,51671569,0.65%,21/07/2022
28,Colombia,Americas,51049498,0.65%,21/06/2022
29,Kenya,Africa,47564296,0.60%,19/08/2022
30,Spain,Europe,47394223,0.60%,21/01/2022
31,Argentina,Americas,45808747,0.58%,21/07/2022
32,Algeria,Africa,44700000,0.56%,21/01/2022
33,Sudan,Africa,44069000,0.56%,21/12/2022
34,Uganda,Africa,42885900,0.54%,21/07/2022
35,Ukraine,Europe,41270899,0.52%,21/11/2022
36,Iraq,Asia,41190700,0.52%,21/07/2022
37,Canada,Americas,38527066,0.49%,21/12/2022
38,Poland,Europe,38151000,0.48%,21/09/2022
39,Morocco,Africa,36469998,0.46%,21/12/2022
40,Uzbekistan,Asia,35286126,0.45%,21/12/2022
41,Saudi Arabia,Asia,35013414,0.44%,20/07/2022
42,Peru,Americas,33035304,0.42%,21/07/2022
43,Afghanistan,Asia,32890171,0.42%,20/07/2022
44,Malaysia,Asia,32688000,0.41%,21/12/2022
45,Angola,Africa,32097671,0.41%,21/06/2022
46,Mozambique,Africa,30832244,0.39%,21/07/2022
47,Ghana,Africa,30792608,0.39%,21/06/2022
48,Yemen,Asia,30491000,0.39%,21/07/2022
49,Nepal,Asia,30378055,0.38%,21/07/2022
50,Venezuela,Americas,28705000,0.36%,21/07/2022
51,IvoryCoast,Africa,27087732,0.34%,21/07/2022
